Month,International - India-re-navigator,International - JMK Research,International - Average,Exchange rate (INR/USD),Mono-crystalline  (INR/watt),BCD-safeguard-duty,Domestic - India-re-navigator,Domestic - JMK Research,Domestic - Average,Interest rate,Interest-rate average
19-Jul,,,,,,0,,,,8.40%,
19-Aug,,,,,,0,,,,8.25%,
19-Sep,,,,,,0,,,,8.15%,
19-Oct,,,,,,0,,,,8.05%,
19-Nov,,,,,,0,,,,8.00%,
19-Dec,,,,,,0,,,,7.90%,
20-Jan,25.7,,25.7,71.54,18.4,21.1,,,,7.90%,8.13%
20-Feb,24.3,,24.3,72.53,17.6,20.3,,,,7.85%,8.04%
20-Mar,21,,21,75.33,15.8,18.2,,,,7.75%,7.98%
20-Apr,19,,19,75.08,14.3,16.4,,,,7.40%,7.91%
20-May,18.5,,18.5,75.59,14,16.1,,,,7.25%,7.80%
20-Jun,17.5,,17.5,75.54,13.2,15.2,,,,7.00%,7.68%
20-Jul,18.9,,18.9,74.92,14.2,16.3,,,,7.00%,7.53%
20-Aug,19.3,,19.3,73.25,14.1,16.3,,,,7.00%,7.38%
20-Sep,21,,21,73.56,15.4,17.8,,,,7.00%,7.23%
20-Oct,23.5,,23.5,74.55,17.5,20.1,,,,7.00%,7.11%
20-Nov,24,,24,73.99,17.8,20.4,,,,7.00%,7.04%
20-Dec,23.5,,23.5,73.04,17.2,19.7,,,,7.00%,7.00%
21-Jan,23,21.5,22.25,72.88,16.2,18.6,,,,7.00%,7.00%
21-Feb,24,21.5,22.75,73.92,16.8,19.3,,,,7.00%,7.00%
21-Mar,24.5,21.9,23.2,73.14,17,19.5,25.6,,25.6,7.00%,7.00%
21-Apr,24.5,22.1,23.3,74.05,17.3,19.8,25.6,,25.6,7.00%,7.00%
21-May,25,22.6,23.8,72.51,17.3,19.8,26,,26,7.00%,7.00%
21-Jun,25.5,23.9,24.7,74.36,18.4,21.1,28,,28,7.00%,7.00%
21-Jul,25.5,24.1,24.8,74.34,18.4,21.2,28,,28,7.00%,7.00%
21-Aug,26,24.2,25.1,72.95,18.3,21.1,28,,28,7.00%,7.00%
21-Sep,27,24.3,25.65,74.17,19,21.9,29,,29,7.00%,7.00%
21-Oct,28,26.8,27.4,74.92,20.5,23.6,28,,28,7.00%,7.00%
21-Nov,28,27.7,27.85,75.09,20.9,24,28,,28,7.00%,7.00%
21-Dec,28.5,27.3,27.9,74.47,20.8,23.9,29,,29,7.00%,7.00%
22-Jan,28,27.1,27.55,74.53,20.5,23.6,31,,31,7.00%,7.00%
22-Feb,28,27.1,27.55,75.49,20.8,23.9,32,,32,7.00%,7.00%
22-Mar,29,26.6,27.8,75.9,21.1,24.3,32,,32,7.00%,7.00%
22-Apr,30,26.7,28.35,76.52,21.7,30.4,37.8,31.7,34.7,7.10%,7.00%
22-May,30,26.7,28.35,77.57,22,30.8,38,32.5,35.2,7.20%,7.02%
22-Jun,30,26.7,28.35,78.95,22.4,31.3,38,32.5,35.2,7.40%,7.05%
22-Jul,29,26.7,27.85,79.34,22.1,30.9,37,31.8,34.4,7.50%,7.12%
22-Aug,28,26.5,27.25,79.49,21.7,30.3,37,32.5,34.7,7.70%,7.20%
22-Sep,26,26.1,26.05,81.51,21.2,29.7,37,32.1,34.5,7.70%,7.32%
22-Oct,25.3,25.2,25.25,82.77,20.9,29.3,37,31.9,34.5,7.95%,7.43%
22-Nov,24.9,25,24.95,81.36,20.3,28.4,37,31.5,34.2,8.05%,7.58%
22-Dec,24.1,24.5,24.3,82.72,20.1,28.1,34,31.2,32.6,8.30%,7.72%
23-Jan,21.9,23.3,22.6,81.74,18.5,25.9,34,31.1,32.6,8.40%,7.87%
23-Feb,21.4,22.7,22.05,82.64,18.2,25.5,33,30.6,31.8,8.50%,8.02%
23-Mar,21,22.2,21.6,82.16,17.7,24.8,31,30.5,30.8,8.50%,8.15%
23-Apr,20.5,21.7,21.1,81.72,17.2,24.1,30,30.1,30.1,8.50%,8.28%
23-May,20,21.1,20.55,82.68,17,23.8,30,27,28.5,8.50%,8.38%
23-Jun,17.4,20.2,18.8,82.09,15.4,21.6,27,26.2,26.6,8.50%,8.45%
23-Jul,15,18.7,16.85,82.24,13.9,19.4,26,25.5,25.7,8.55%,8.48%
23-Aug,14.6,17.4,16,82.7,13.2,18.5,25,24.5,24.8,8.55%,8.51%
23-Sep,14.1,17,15.55,83.03,12.9,18.1,25,23.3,24.2,8.55%,8.52%
23-Oct,13.3,14.3,13.8,83.26,11.5,16.1,25,22.1,23.5,8.55%,8.53%
23-Nov,12.2,13.3,12.75,83.36,10.6,14.9,22,21,21.5,8.55%,8.53%
23-Dec,11.1,12.7,11.9,83.19,9.9,13.9,22,20.6,21.3,8.65%,8.54%
24-Jan,10.6,11.6,11.1,83.1,9.2,12.9,18,19.9,19.4,8.65%,8.57%
24-Feb,10.1,11.4,10.75,82.9,8.9,12.5,18,19.7,19.3,8.65%,8.58%
24-Mar,10.1,11.4,10.75,83.35,9,12.5,18,19.7,19.3,8.65%,8.60%
24-Apr,10.1,11.4,10.75,83.45,9,12.6,14,19.7,16.8,8.65%,8.62%
24-May,9.2,10.4,9.8,83.42,8.2,11.4,14,18.8,16.4,8.65%,8.63%
24-Jun,9.1,10.11,9.605,83.36,8,11.2,14,18.4,16.2,8.75%,8.65%
24-Jul,8.9,9.81,9.355,83.72,7.8,11,14,17.4,15.7,8.85%,8.67%
24-Aug,8.7,9.81,9.255,83.86,7.8,10.9,14,17.1,15.55,8.95%,8.70%
24-Sep,,9.81,9.81,83.75,8.2,11.5,,16.9,16.9,8.95%,8.75%
24-Oct,,9.12,9.12,84.06,7.66,10.7,,16.7,16.7,8.95%,8.80%
24-Nov,,8.73,8.73,84.56,7.38,10.3,,17,17,9.00%,8.85%
24-Dec,,8.337,8.337,85.55,7.13,9.99,,17.5,17.5,9.00%,8.95%
